Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
460.6,1.698913663112418,1.698913663112418,0,5.075759217559982,5.992887071243521,7.951602810935303,23.690484385966478,18.630080316392757,76.4425125603684
461.6,1.6976696570092207,1.6976696570092207,0,5.075759217559982,6.017670555937388,7.934224771739449,23.685709355565685,18.558064790192397,58.4237384398281
462.6,1.6964949629440336,1.6964949629440336,0,5.071123670291623,6.042485382339349,7.916132877055807,23.680725566722494,18.484919722177978,67.13780230606268
462.618,1.695388763940597,1.695388763940597,1,5.065858146876997,6.0672865228698445,7.8973677702911305,23.675517980939937,18.410819328151575,66.92710961361557
463.6,1.6943503102909612,1.6943503102909612,0,5.060001139109518,6.092027380215201,7.877971952238634,23.670072703707675,18.335941742597825,66.71641692116846
464.6,1.6933789464230635,1.6933789464230635,0,5.053592434227973,6.1166599133993955,7.857989626593794,23.664377314665217,18.260468534398854,67.27271165116971
465.6,1.692474136445583,1.692474136445583,0,5.046673015885927,6.141134779480142,7.8374665425444885,23.65842120121072,18.184584204264482,65.51267661991969
466.6,1.6916354881386495,1.6916354881386495,0,5.039284958486902,6.165401490151375,7.8164498348292994,23.652195891215705,18.108475662704507,66.06196222714398
467.6,1.6908627751657892,1.6908627751657892,0,5.031471314193988,6.1894085822826685,7.794987861324373,23.645695379655994,18.03233168749934,62.71026882623681
468.6,1.690155957247164,1.690155957247164,0,5.023275991817577,6.213103801148284,7.773130038125396,23.638916442900285,17.95634235977876,59.07570237904136
469.6,1.6895151980098573,1.6895151980098573,0,5.0147436266244645,6.236434294774147,7.750926672210722,23.63185893377079,17.880698477980633,57.69562900888232
469.62,1.6889408802553805,1.6889408802553805,0,5.005919440032229,6.259346817491228,7.7284287919812265,23.624526050677147,17.80559094928267,58.980028247602846
469.648,1.6884336184414963,1.6884336184414963,1,4.9968490882403644,6.281787940539608,7.705687976184095,23.616924574937087,17.731210158717552,60.26442748632336
470.6,1.6879942682119964,1.6879942682119964,0,4.987578499128025,6.30370426753608,7.6827561819438355,23.60906507129588,17.657745316980673,61.54882672504389
471.6,1.6876239327933353,1.6879942682119964,0,4.978153697202328,6.325042652803475,7.65968557281753,23.600962047168483,17.585383788703098,75.74969650566251
472.6,1.6873239660259443,1.6879942682119964,0,4.968620616934662,6.345750420831948,7.636528347856844,23.592634066064328,17.514310403617024,64.87131869057824
473.6,1.687095971750933,1.6879942682119964,0,4.959024905333688,6.36577558533004,7.613336572549847,23.584103810213648,17.4447067537193,60.49811093397126
474.6,1.6869417992738396,1.6879942682119964,0,4.94941171494925,6.385067066345255,7.590162012326104,23.575398087237943,17.376750480444265,56.20757648627887
475.6,1.6868635347123047,1.6879942682119964,0,4.939825488696325,6.403574903890029,7.56705596915976,23.566547776673616,17.310614556975242,67.25375586741987
476.6,1.686863488212327,1.6879942682119964,0,4.9303097380871215,6.421250466593805,7.544069121710775,23.557587714727404,17.24646657180254,54.99001709974324
476.924,1.6869441772550504,1.6879942682119964,1,4.920906816773218,6.4380466541528945,7.521251369319389,23.5485565192645,17.184468020072053,60.699844497113304
477.6,1.6871083065153496,1.6879942682119964,0,4.911657691646896,6.453918092579142,7.498651679964386,23.539496360493168,17.124773609037092,66.40967189448337
478.6,1.6873587449225231,1.6879942682119964,0,4.902601713977248,6.468821321298596,7.4763179421056645,23.530452685267612,17.067530583192795,74.23495900783686
479.6,1.6876985006766485,1.6879942682119964,0,4.8937763931434874,6.482714971089225,7.454296820325852,23.521473904283997,17.012878073689663,76.03424258742321
480.6,1.688130694973321,1.688130694973321,0,4.885217175572097,6.495559931832069,7.432633614951487,23.512611051854652,16.96094647557578,71.92800925132792
481.6,1.688658535093585,1.688658535093585,0,4.876957231531829,6.507319509130729,7.411372126308717,23.503917427520513,16.91185685538624,68.72544752333343
482.6,1.6892852873680526,1.6892852873680526,0,4.8690272524467195,6.517959568949593,7.390554524760058,23.49544822765492,16.86572039061998,74.45812544414365
483.501,1.6900142503857807,1.6900142503857807,1,4.861455261318447,6.527448669431671,7.370221227954792,23.487260173740612,16.822637841835753,66.32124220177609
483.6,1.6908487287383565,1.6908487287383565,0,4.854266438728383,6.535758178944145,7.350410786709896,23.47941114262215,16.78269905760982,58.184358959408534
484.6,1.6917920075785613,1.6917920075785613,0,4.847482966728138,6.542862379217492,7.331159780705714,23.471959803125927,16.745982512385964,60.60022581625606
485.6,1.6928473282942023,1.6928473282942023,0,4.84112389268415,6.542862379217492,7.312502724884508,23.464965262987896,16.712554877137777,68.18957759201153
486.6,1.69401786558986,1.69401786558986,0,4.835205014780702,6.542862379217492,7.294471987188228,23.45848672966344,16.68247062280056,69.20088276436148
487.6,1.6953067061979898,1.6953067061979898,0,4.829738790423906,6.542862379217492,7.277097718093714,23.452583188020235,16.65577165698713,69.34166870536349
